,date,avg_equity,avg_debt,avg_hybrid,index_nrml
480,2020-09-02,6.92,25.4,10.34,-1.25
481,2020-09-03,6.96,25.59,10.23,-1.31
482,2020-09-04,5.25,25.41,9.25,-2.97
483,2020-09-07,5.24,24.99,9.22,-2.79
484,2020-09-08,4.33,24.52,8.65,-3.11
485,2020-09-09,3.24,24.88,8.35,-3.45
486,2020-09-10,4.93,24.8,9.22,-1.98
487,2020-09-11,6.46,24.7,9.36,-1.85
488,2020-09-14,8.67,24.74,10.1,-2.06
489,2020-09-15,9.76,24.77,10.68,-1.36
490,2020-09-16,10.93,24.99,11.15,-0.65
491,2020-09-17,11.18,24.81,10.83,-1.41
492,2020-09-18,11.66,24.85,10.89,-1.5
493,2020-09-21,7.47,24.89,9.14,-3.68
494,2020-09-22,6.29,24.92,8.55,-4.51
495,2020-09-23,6.43,25.0,8.44,-4.7
496,2020-09-24,4.39,25.01,6.71,-7.49
497,2020-09-25,6.63,24.85,8.05,-5.4
498,2020-09-28,9.23,24.69,9.22,-3.88
499,2020-09-29,9.19,24.77,9.17,-3.92
500,2020-09-30,9.42,24.95,9.18,-3.71
501,2020-10-01,10.31,25.14,10.02,-2.26
502,2020-10-05,10.58,25.23,10.35,-1.52
503,2020-10-06,11.32,25.13,10.84,-0.15
504,2020-10-07,10.72,25.23,10.93,0.5
505,2020-10-08,11.14,25.24,11.19,1.32
506,2020-10-09,10.65,25.95,11.88,2.0
507,2020-10-12,10.41,26.37,11.82,2.14
508,2020-10-13,10.21,26.36,11.75,2.17
509,2020-10-14,10.04,26.34,11.95,2.49
510,2020-10-15,7.95,26.42,10.65,-0.0
511,2020-10-16,8.46,26.15,11.29,0.7
512,2020-10-19,9.52,26.18,11.87,1.65
513,2020-10-20,9.75,26.23,12.06,1.85
514,2020-10-21,9.87,26.36,12.47,2.2
515,2020-10-22,10.08,26.4,12.43,1.85
516,2020-10-23,11.19,26.81,12.89,2.14
517,2020-10-26,10.34,27.24,12.25,0.75
518,2020-10-27,10.76,27.19,12.92,1.79
519,2020-10-28,10.59,27.16,12.16,0.42
520,2020-10-29,10.9,26.89,11.93,-0.08
521,2020-11-02,11.37,26.87,12.15,-0.1
522,2020-11-03,11.75,26.78,12.88,1.14
523,2020-11-04,12.28,26.91,13.41,1.95
524,2020-11-05,13.8,27.15,14.46,3.77
